,study,mean.e,sd.e,n.e,mean.c,sd.c,n.c,week,drug
1,Bailey et al.(2010),-1.3,1.78,135,-0.33,1.73,137,24,MET
2,Bailey et al.(2013),-1.36,1.72,135,-0.58,2.33,137,102,MET
3,Bolinder et al.(2013),-0.96,1.25,89,-0.02,1.31,91,102,MET
4,Henry et al.(2012),-3.35,2.04,211,-1.93,2.06,208,24,MET
5,NCT00984867,-1.34,1.95,223,0.21,1.95,222,24,MET&S
11,Rosenstock et al.(2012)a,-1.64,1.89,140,-0.31,1.89,139,24,PIO
12,Rosenstock et al.(2012)b,-1.84,2.01,140,-0.73,2.36,139,48,PIO
6,Strojek et al.(2011),-1.58,1.7,150,-0.11,1.69,145,24,GLI
7,Wilding et al.(2009),0.13,2.17,23,0.99,2.18,22,12,INS
8,Wilding et al.(2012),-1.21,2.49,183,0.18,2.49,177,24,INS
9,Wilding et al.(2013)a,-1.42,2.56,194,-0.5,2.62,193,48,INS
10,Wilding et al.(2013)b,-1.3,2.77,194,-1,3.08,193,104,INS
